__Title__,__URL__,Context Title,Context Name (Publication),Context Description,Context Name (Excavation),Culture/Period,Burial Type,Pottery Types,Skeletal Remains,Notes,Season Number,Location Type,Nissen Date,Abbreviation
Unknown,http://ur.iaas.upenn.edu/location/982/,Unknown,Unknown,Woolley did not list a location.
Ur,http://ur.iaas.upenn.edu/location/2/,Ur,Ur; Tell el-Muqayyar,When Woolley lists context only as 'Ur' on his object catalog cards he tends to mean that it was found somewhere within the confines of the city wall but no more specific than that. These are often surface finds that Woolley felt did not require more specific find spot information. Those found outside the city walls were typically recorded as 'brought in' followed by the name of the broad region from which they were brought in by the workers.
AH Site | AH,http://ur.iaas.upenn.edu/location/5/,AH Site | AH,AH Site,"In the southeast portion of the mound of Ur, Woolley excavated a large horizontal extent of domestic space roughly 115 x 85m. near the surface he found scattered Neo-Babylonian and Kassite remains and intrusive graves of the late periods but he did not publish these in detail nor are there any extant notes covering them. Instead, Woolley's main goal was to uncover the best preserved floorplans of houses. These he found several meters down, houses of the Isin-Larsa/Old Babylonian period. Because the Old Babylonian period was typically that associated with the potential time of Abraham, Woolley used the abbreviation AH (Abraham's Housing) to refer to this excavation area.

In the course of excavation of the Isin-Larsa/Old Babylonian levels Woolley numbered 27 'houses,' or excavation units. He renumbered the houses for publication based on the overall plan, preserved walls, and doors onto streets. In this way he showed there were 52 individual houses within his 27 excavation areas. However, houses were frequently altered throughout period, as families would knock out walls or block up doors, and thus true house numbers are difficult to establish. Woolley mentions phases of rebuilding, but states that he sought the best preserved floor plan and published the excavation of a particular house based on that plan alone. In some cases he noted deeper remains that may have gone back to the Ur III period. These levels he partially uncovered as he excavated graves beneath the Larsa period floors.

A great deal of baked brick was in use for walls of the Isin-Larsa/Old Babylonian period. Some houses used it in the lowest portion of a wall, but others used it for entire walls up to 3 meters in height. Town planning was not evident, as streets tended to wander in narrow and winding paths. Corners where streets met were often rounded, leading Woolley to surmise that this was to prevent problems with laden donkeys catching their wares on corners.
LG/36 | AHG/85,http://ur.iaas.upenn.edu/location/713/,LG/36 | AHG/85,Larsa Grave 36,"In E corner of Room 2. 
At 0.70m. below pavement of this
(late) house.",AH Grave 85,,"Urn burial, G","lla, 41c, 69a (two)","Analysis of the material indicates that a two-phase LP occupational sequence is present in this structure, but it is not known with which phase this grave is associated.",
Room 3,http://ur.iaas.upenn.edu/location/498/,Room 3,Room 3,"Room 3 was clay-floored; the upper part of the masonry of the outer walls was late, rebuilding over the top of the old walls.",,,,,,
Room 4,http://ur.iaas.upenn.edu/location/499/,Room 4,Room 4,Room 4 had a clay floor but in the south corner was a raised patch of brick paving which looked like the foundation of a bed.,,,,,,
Room 5,http://ur.iaas.upenn.edu/location/500/,Room 5,Room 5,"Room 4 was entered through Room 5, which was paved.",,,,,,
Room 6,http://ur.iaas.upenn.edu/location/501/,Room 6,Room 6,"Lavatory; The tiny Room 6 had no floor left; it had presumably been the lavatory, but was much ruined.",,,,,,
No. 8 Straight Street,http://ur.iaas.upenn.edu/location/127/,No. 8 Straight Street,No. 8 Straight Street,"The building was one of the latest in the main occupation-period of the quarter. The street front, with twenty-one courses of burnt brick, was built up against the corner of No. 10 on one side and against No. 6 on the other, and its foundations lay at least six courses above those of No. 6 and actually above the level of the street as given by the threshold of No. 4. Even so its threshold, originally at 0.85 m. above the present street level (which was that of the main occupation-period) was raised later to 1.00 m. and finally to 1.20 m. In Room 2 there were found traces of a floor corresponding to the highest of these thresholds, but excavation was carried down to or below the earliest floor in each room. The dividing wall between this house and No. 6 had at most points been destroyed to floor level.",,Isin-Larsa,,,,
Room 1,http://ur.iaas.upenn.edu/location/502/,Room 1,Room 1,The front door led into a passage (1) separated by a screen wall 0.25 m thick (much of it destroyed)' from Room 2.,,,,,,
Room 2,http://ur.iaas.upenn.edu/location/503/,Room 2,Room 2,"Room 2; in the latter were remains of a brick pavement and of an earlier pavement 0.60 m. below it. The SE door-jamb of Room 1 was of burnt brick bonded into the SE wall, the middle section was destroyed, the NW section with the jamb of the door of Room 2 was of burnt brick abutting on the NW wall of the house.",,,,,,
Room 3,http://ur.iaas.upenn.edu/location/504/,Room 3,Room 3,Room 3 had an urn-burial under its pavement in the south corner; of the walls other than the NW wall only the foundations were left.,,,,,,
LG/36.5,http://ur.iaas.upenn.edu/location/714/,LG/36.5,Larsa Grave 36.5,,,,"Pot Burial ""Urn""",,,
Room 4,http://ur.iaas.upenn.edu/location/505/,Room 4,Room 4,"Room 4 was a similar small room but with no signs of paving; there was a shallow niche in the NE wall, the SE and SW walls were ruined to their foundations (as in the case of No. 6 next door, the late burnt-brick walls rested on older walls of mud brick) and of the door to Room 5 only the NW jamb was left.",,,,,,
Room 5,http://ur.iaas.upenn.edu/location/506/,Room 5,Room 5,"Room 5 had been brick paved; its whole area was occupied, below floor level, by a corbel-vaulted brick tomb.",,,,,,
LG/36.6,http://ur.iaas.upenn.edu/location/715/,LG/36.6,Larsa Grave 36.6,,,,"Pot burial ""urn""",,,
City Wall | CLW,http://ur.iaas.upenn.edu/location/9/,City Wall | CLW,,"The meaning of the excavation area abbreviation CLW is not precisely clear. Some references to it state that it is the central portion of the northeastern city wall, thus it might mean Central Long Wall. Field notes with the abbreviation, however, refer to excavation squares along the entirety of the edge of the mound where the outer city wall once stood and thus it more likely to refer to the City Long Wall as a whole.

H.R. Hall dug a 12 meter trench across the city wall in 1919, but Woolley began his investigations of it in February of 1929. In a period of a few days he exposed 100 meters of the length of the wall behind his dig house. In the next season he set his workers to tracing the entirety of the wall, which ran approximately 2.5 miles around the city. To uncover it they simply followed the outer line of the wall to no great depth and made cross cut trenches to assess the width of the wall at intervals. Despite the great extent, the tracing of the wall took only one month. In a report sent from the field in February of 1930, Woolley said, ""...the wall is a complete ruin; not a vestige of the burnt-brick wall proper has been discovered and in few places does more survive than the weathered stump of the huge mud-brick rampart along which the wall originally ran.""

The investigations showed the original wall to be between 25 and 34 meters wide and Woolley estimated that it once stood to a height of 8 meters. On the central portion of the east side, he found and excavated partial houses. Woolley believed that for portions of Ur's history, the backs of these houses formed the defensive wall itself. Many of the objects marked as CLW come from this specific area of houses along the wall, and this is likely the reason that CLW in abbreviation lists is said to be the central portion of the northeast city wall.

The sloping revetment that was often found in CLW squares was evidence of the bank of a canal running along the east side of the city. Some of the CLW squares also contained other excavation areas, such as the North and West harbors, the so-called Kassite Fort, the Rim Sin temple (RS), and the Nin-Ezen Temple (NT).",Central Long Wall; City Long Wall,,,,,
CLW Graves,http://ur.iaas.upenn.edu/location/4372/,CLW Graves,,"Graves located somwehere in CLW, that do not have a period designation",,,,,,
CLWG/10,http://ur.iaas.upenn.edu/location/1873/,CLWG/10,,,CLW Grave 10,,,,,
CLWG/101,http://ur.iaas.upenn.edu/location/3387/,CLWG/101,,,CLW Grave 101,,,,,
CLWG/125,http://ur.iaas.upenn.edu/location/3395/,CLWG/125,,,CLW Grave 125,,,,,
CLWG/129,http://ur.iaas.upenn.edu/location/1862/,CLWG/129,,,CLW Grave 129,,,,,
CLWG/24,http://ur.iaas.upenn.edu/location/1871/,CLWG/24,,,CLW Grave 24,,,,,
CLWG/81,http://ur.iaas.upenn.edu/location/3402/,CLWG/81,,,,,,,,
Kassite Graves,http://ur.iaas.upenn.edu/location/4373/,Kassite Graves,,,,,,,,
KG/76 | CLWG/76,http://ur.iaas.upenn.edu/location/3399/,KG/76 | CLWG/76,Kassite Grave 76,,CLW Grave 76,,,,,
Larsa Graves,http://ur.iaas.upenn.edu/location/4374/,Larsa Graves,,,,,,,,
LG/166 | CLWG/A,http://ur.iaas.upenn.edu/location/836/,LG/166 | CLWG/A,Larsa Grave 166,"In a corner of a Larsa chamber on Town
wall.",CLW Grave A,,"Larnax F. 0.70m. x 0.22m. The coffin was set
right way up and must have had a wooden lid.",,Each compartment contained the bones of a small child.,
LG/167 | CLWG/7,http://ur.iaas.upenn.edu/location/837/,LG/167 | CLWG/7,Larsa Grave 167,"Against wall foundations in a
Larsa house on town wall.",CLW Grave 7,,Inhumation.,"10c, 51a.",Disturbed: NW x SE.,
LG/168 | CLWG/8,http://ur.iaas.upenn.edu/location/838/,LG/168 | CLWG/8,Larsa Grave 168,"1.70m. below house wall, against face of
town wall.",CLW Grave 8,,Brick tomb (ruined).,51a.,NE x SW.,
LG/168.5 | CLWG/9,http://ur.iaas.upenn.edu/location/846/,LG/168.5 | CLWG/9,Larsa Grave 168.5,,CLW Grave 9,,Not Recorded,,,
LG/169 | CLWG/10,http://ur.iaas.upenn.edu/location/839/,LG/169 | CLWG/10,Larsa Grave 169,0.20m. below LG/168 on town wall.,CLW Grave 10,,Inhumation.,"81,98 (with combed lines round neck and shoulder).","Body on left side, flexed, head NW.",
LG/169.5 | CLWG/13,http://ur.iaas.upenn.edu/location/847/,LG/169.5 | CLWG/13,Larsa Grave 169.5,,CLW Grave 13,,Not Recorded,,,
LG/169.6 | CLWG/39,http://ur.iaas.upenn.edu/location/848/,LG/169.6 | CLWG/39,Larsa Grave 169.6,,CLW Grave 39,,Vaulted Tomb,t.9la.,Three bodies with skulls against entrance.,
LG/170 | CLWG/16,http://ur.iaas.upenn.edu/location/840/,LG/170 | CLWG/16,Larsa Grave 170,On town wall.,CLW Grave 16,,Corbel- vaulted tomb. Built of mixed bricks; in the door-blocking a reused brick of Bur-Sin.,"t.26b (U13037), 45a, 51a (two), 71 (three)","Four skeletons, one flexed, NE x SW, the others in confusion.",
LG/170.5 | CLWG/40,http://ur.iaas.upenn.edu/location/849/,LG/170.5 | CLWG/40,Larsa Grave 170.5,"Unpublished information indicates that
LG/170.5 and LG/170.6 were placed in LP levels of a previously unpublished three room structure, for which architectural plans were uncovered. (The room which contained the burials has the appearance of a domestic chapel; unidentified tablets ""baked by fire"" were also located here).",CLW Grave 40,,Double Pot Burial,,Two Infants,
LG/170.6 | CLWG/41,http://ur.iaas.upenn.edu/location/850/,LG/170.6 | CLWG/41,CLW Grave 41; Larsa Grave 170.6,,,,Double Pot Burial,,Two Infants,
LG/171 | CLWG/110,http://ur.iaas.upenn.edu/location/841/,LG/171 | CLWG/110,Larsa Grave 171,On town wall.,CLW Grave 110,,Larnax B,"5b, 69a, 71, 81, 85, 106.a",,
LG/171.5 | CLWG/108,http://ur.iaas.upenn.edu/location/851/,LG/171.5 | CLWG/108,Larsa Grave 171.5,,CLW Grave 108,,Not Recorded,,,
LG/172 | CLWG/117,http://ur.iaas.upenn.edu/location/842/,LG/172 | CLWG/117,Larsa Grave 172,1.40m. below Larsa pavement on town wall.,CLW Grave 117,,Larnax B.,"48, 81 94.","Grave E X W, head W.",
LG/172.5 | CLWG/54,http://ur.iaas.upenn.edu/location/852/,LG/172.5 | CLWG/54,Larsa Grave 172.5,,CLW Grave 54,,Not Recorded,,,
LG/173 | CLWG/72,http://ur.iaas.upenn.edu/location/843/,LG/173 | CLWG/72,Larsa Grave 173,On town wall.,CLW Grave 72,,Larnax B. he Larnax not inverted; it must have had a wooden lid. Traces of a closely woven woollen garment having a fringe down the front from neck to feet.,"48, 69a.","Body flexed, on rt. side, head SW.",
LG/173.5 | CLWG/73,http://ur.iaas.upenn.edu/location/853/,LG/173.5 | CLWG/73,Larsa Grave 173.5,,CLW Grave 73,,Not Recorded,,,
LG/173.6 | CLWG/74,http://ur.iaas.upenn.edu/location/854/,LG/173.6 | CLWG/74,Larsa Grave 173.6,,CLW Grave 74,,Larnax A,"t.48, outside.","E X W, with two bodies.",
LG/173.7 | CLWG/75,http://ur.iaas.upenn.edu/location/855/,LG/173.7 | CLWG/75,Larsa Grave 173.7,,CLW Grave 75,,Not Recorded,"t.48, outside.",,
LG/174 | CLWG/114,http://ur.iaas.upenn.edu/location/844/,LG/174 | CLWG/114,Larsa Grave 174,1.50m. below pavement of Larsa bricks on town wall. Pavement bricks 0.27m. x 0.165m. x 0.055m.,CLW Grave 114,,Urn burial.,"45a,51a, 70, 106.",Skeleton of adolescent.,
LG/174.5 | CLWG/112,http://ur.iaas.upenn.edu/location/856/,LG/174.5 | CLWG/112,Larsa Grave 174.5,1.50m. below pavement of Larsa bricks on town wall. Pavement bricks 0.27m. x 0.165m. x 0.055m.,CLW Grave 112,,Larnax,,"Head NE, flexed, on right side.",
LG/174.6 | CLWG/113,http://ur.iaas.upenn.edu/location/858/,LG/174.6 | CLWG/113,Larsa Grave 174.6,,CLW Grave 113,,,,"Body flexed, left side.",
Neo-Babylonian Graves,http://ur.iaas.upenn.edu/location/4376/,Neo-Babylonian Graves,,,,,,,,
NB/51 | CLWG/52,http://ur.iaas.upenn.edu/location/1872/,NB/51 | CLWG/52,Neo-Babylonian Grave 51,,CLW Grave 52,,,,,
NB/52 | CLWG/52,http://ur.iaas.upenn.edu/location/3401/,NB/52 | CLWG/52,,,,,,,,
NB/53 | CLWG/59,http://ur.iaas.upenn.edu/location/3376/,NB/53 | CLWG/59,Neo Babylonian Grave 53,,CLW Grave 59,,,,,
NB/57 | CLWG/89,http://ur.iaas.upenn.edu/location/3383/,NB/57 | CLWG/89,Neo-Babylonian Grave 57,,CLW Grave 89,,,,,
NB/58 | CLWG/100,http://ur.iaas.upenn.edu/location/3388/,NB/58 | CLWG/100,Neo-Babylonian Grave 58,,CLW Grave 100,,,,,
Nin-Giz-Zida Temple | Nin-Ezen Temple | NT,http://ur.iaas.upenn.edu/location/23/,Nin-Giz-Zida Temple | Nin-Ezen Temple | NT,Nin-Gish-Zida Temple; Nin-Giz-Zid-Da Temple; Nin-Ezen Temple,"The excavation area abbreviation NT refers to a successive series of small temples built very near the city wall in the southwestern portion of Ur. The temple nearest the surface was that built in the Neo-Babylonian period and attributable to the reign of Nebuchadnezzar. The excavation area abbreviation NT actually stands for Nebuchadnezzar's temple. No Persian period temple was found here but Persian burials infringed on the building (see area NTB).

Beneath the Neo-Babylonian temple Woolley discovered another, similar temple of the Kassite period. This one seemed to have two phases of construction, one phase attributable to the reign of Kurigalzu. Beneath this sat another temple of the Isin-Larsa/Old Babylonian period, also with two phases. One of these dated to the reign of Rim Sin and the other to that of Sin-Iddinam. Yet another temple sat beneath, but this one was very fragmentary and difficult to map. It likely belonged to the Ur III period but little could be discerned.

Inscribed clay cones found in the Larsa levels give the name of the building as E-ni-gi-na and state that Rim-Sin restored this temple dedicated to Nin-gish-zida. Inscriptions in other levels show that this deity was honored here throughout the time periods but that Nin-Ezen (Ningizzida's consort) was also honored here in a kind of double shrine. Woolley suggested that another temple to Nin-Ezen appeared in the temenos area (see area SM) and that Ningizzida was the primary deity for this smaller temple in the southern city.",NT; Nebuchadnezzar's Temple,,,,,
